,SampleID,Hours,Biomass (g/L),OD600 (N/A),Phase,SampleVolume (L),Acetate (g/L),Ethanol (g/L),Formate (g/L),Propionate (g/L),Lactate (g/L),Maltose (g/L),Succinate (g/L),Glucose (g/L),psilocin (g/L),psilocybin (g/L),tryptophan (g/L),serotonin (g/L),Baeocystine (g/L),4-hydroxytryptamine (g/L),norbaeocystin (g/L),tryptamine (g/L)
11,27-PSI_F503_C1_R4_T13,97.09611111111111,95.7696,232.0,3.0,0.006,,,0.03968901709585919,,,,,,0.052389099645299995,0.4432366876554,,,0.006613075908,,,0.0014363722999999999
12,27-PSI_F503_C1_R4_T13,97.09611111111111,95.7696,232.0,3.0,0.006,,,0.03968901709585919,,,,,,0.052389099645299995,0.4432366876554,,,0.006613075908,,,0.0014363722999999999
13,27-PSI_F503_C1_R4_T13,97.09611111111111,95.7696,232.0,3.0,0.006,,,0.03968901709585919,,,,,,0.052389099645299995,0.4432366876554,,,0.006613075908,,,0.0014363722999999999
14,27-PSI_F503_C1_R4_T13,97.09611111111111,95.7696,232.0,3.0,0.006,,,0.03968901709585919,,,,,,0.052389099645299995,0.4432366876554,,,0.006613075908,,,0.0014363722999999999
15,27-PSI_F503_C1_R4_T15,118.55055555555556,84.624,205.0,3.0,0.006,,,0.07769885837114514,0.14137982024243678,,,,,0.1144818408915,0.631882389306,,,0.0081491591115,,,0.0016957796953999999
0,27-PSI_F503_C2_R1_T6,46.54888888888889,6.64608,16.1,3.0,0.006,0.00367752794738288,0.047046441226209344,0.005548675541817114,0.02419559490025563,,,,0.5545460024662511,0.0034705982699999994,0.003664505721,,,0.00017845388775000002,,,0.0033853941251999996
1,27-PSI_F503_C2_R1_T7,50.05444444444444,9.78336,23.7,3.0,0.006,0.001484989485293113,0.03602915043937892,0.0028749360632680334,0.0037217006193697028,,,,,0.004620354978689999,0.00500989033464,1.416520975e-05,3.26252815e-07,0.00018774692550000002,8.873054549999999e-07,2.4852991900000004e-05,0.0033961993619999993
2,27-PSI_F503_C2_R1_T8,52.97972222222222,11.723519999999999,28.4,3.0,0.006,,0.02309334506342291,0.009020676064602511,,,,,,0.00567234867231,0.0062747435141599995,,,0.00021782837250000005,,,0.0030814728071999996
3,27-PSI_F503_C2_R1_T9,69.93416666666667,25.1808,61.0,3.0,0.006,0.0015392582040247586,0.04855375140603282,0.013792297769761782,,,,,0.013447696574323723,0.023326291347749998,0.017169730406399998,1.106045309e-05,6.74091355e-07,0.00044151792525000004,4.430359925e-06,5.460484898e-05,0.0022711265109999997
4,27-PSI_F503_C2_R1_T10,73.44833333333334,31.455360000000002,76.2,3.0,0.006,0.0015532365103647194,0.05373773861731752,0.01849812275397242,,,,,0.012837789040023964,0.02363102580915,0.0211174932454,,,0.0005470921304999999,,,0.0021504375915999997
