,FermID,Product,Substrate,Phase,Yield (g/g),Yield (mol/mol),R²,Std Error,biomass growth rate,ri,,,,,,,,
71,27-PSI_F503_C2_R1,Maltose (pseudo),Biomass (pseudo),3,,,,,0.052249537,,,,,,,,,
72,27-PSI_F503_C2_R1,Propionate (pseudo),Biomass (pseudo),3,7.937844199137966e-05,2.6723821992444774e-05,0.3280083158016368,8.033912454341423e-05,0.052249537,4.147486878616135e-06,,,,,,,,
73,27-PSI_F503_C2_R1,Succinate (pseudo),Biomass (pseudo),3,,,,,0.052249537,,,,,,,,,
74,27-PSI_F503_C2_R1,norbaeocystin (pseudo),Biomass (pseudo),3,2.02240200161833e-06,1.9419606245290967e-07,0.9996125012601011,3.981867407315899e-08,0.052249537,1.0566956914964314e-07,,,,,,,,
75,27-PSI_F503_C2_R1,psilocin (pseudo),Biomass (pseudo),3,0.000784647,9.449273899518232e-05,0.9296463809414348,7.631565468276242e-05,0.052249537,4.0997440852637335e-05,,,,,,,,
76,27-PSI_F503_C2_R1,psilocybin (pseudo),Biomass (pseudo),3,0.002282636,0.000197546,0.9437953676246676,0.000196942,0.052249537,0.000119267,,,,,,,,
77,27-PSI_F503_C2_R1,serotonin (pseudo),Biomass (pseudo),3,1.9944306196505332e-08,2.784347837432785e-09,0.9850444736980448,2.4574905932931792e-09,0.052249537,1.0420807737961323e-09,,,,,,,,
78,27-PSI_F503_C2_R1,tryptamine (pseudo),Biomass (pseudo),3,1.488830704417232e-05,2.2859340487244985e-06,0.6354496418150958,3.986929151865827e-06,0.052249537,7.779071566713124e-07,,,,,,,,
79,27-PSI_F503_C2_R1,tryptophan (pseudo),Biomass (pseudo),3,1.1048211159168221e-08,1.3308490574651761e-09,0.025863807,6.780404092060598e-08,0.052249537,5.772639228646834e-10,,,,,,,,
80,27-PSI_F503_C2_R3,4-hydroxytryptamine (pseudo),Biomass (pseudo),3,1.306974146089408e-07,1.824616309732673e-08,0.3390924122311678,1.824644783081093e-07,0.050829729,6.643314148296158e-09,,,,,,,,
81,27-PSI_F503_C2_R3,Acetate (pseudo),Biomass (pseudo),3,1.1018151595584623e-05,4.5908964981602605e-06,0.8202351197287012,2.5790632463507177e-06,0.050829729,5.600496582279902e-07,,,,,,,,
82,27-PSI_F503_C2_R3,Baeocystine (pseudo),Biomass (pseudo),3,4.479757118961026e-05,4.078158021146868e-06,0.8908145252262721,5.5449580302796e-06,0.050829729,2.277048397504288e-06,,,,,,,,
83,27-PSI_F503_C2_R3,Ethanol (pseudo),Biomass (pseudo),3,0.000181316,9.681711341258236e-05,0.5539986378678735,5.75180277257315e-05,0.050829729,9.21622414072729e-06,,,,,,,,
84,27-PSI_F503_C2_R3,Formate (pseudo),Biomass (pseudo),3,0.000550153,0.000300636,0.9597971846073144,3.980857451069139e-05,0.050829729,2.796410441089784e-05,,,,,,,,
85,27-PSI_F503_C2_R3,Glucose (pseudo),Biomass (pseudo),3,1.918896727990036,0.2620163160998828,0.990332386,0.1094611823346656,0.050829729,0.097537,,,,,,,,
86,27-PSI_F503_C2_R3,Lactate (pseudo),Biomass (pseudo),3,8.737535144520912e-06,2.413195964468558e-06,0.9999999999999998,0,0.050829729,4.4412654236895553e-07,,,,,,,,
87,27-PSI_F503_C2_R3,Maltose (pseudo),Biomass (pseudo),3,,,,,0.050829729,,,,,,,,,
88,27-PSI_F503_C2_R3,Propionate (pseudo),Biomass (pseudo),3,0.000298966,0.000100651,0.6140954498620118,0.000167582,0.050829729,1.5196341092331276e-05,,,,,,,,
89,27-PSI_F503_C2_R3,Succinate (pseudo),Biomass (pseudo),3,,,,,0.050829729,,,,,,,,,
90,27-PSI_F503_C2_R3,norbaeocystin (pseudo),Biomass (pseudo),3,1.5727462315338276e-06,1.510189987733017e-07,0.9953745735510314,1.0721147515046189e-07,0.050829729,7.994226452673377e-08,,,,,,,,
91,27-PSI_F503_C2_R3,psilocin (pseudo),Biomass (pseudo),3,0.000759513,9.146595634445032e-05,0.9568710745827116,5.700959446481307e-05,0.050829729,3.860585122666992e-05,,,,,,,,
92,27-PSI_F503_C2_R3,psilocybin (pseudo),Biomass (pseudo),3,0.002020612,0.00017487,0.947480172,0.000168196,0.050829729,0.000102707,,,,,,,,
93,27-PSI_F503_C2_R3,serotonin (pseudo),Biomass (pseudo),3,6.20850064339045e-09,8.667448829658082e-10,0.3163399076849788,9.127037887508562e-09,0.050829729,3.1557640437915806e-10,,,,,,,,
94,27-PSI_F503_C2_R3,tryptamine (pseudo),Biomass (pseudo),3,2.1896255492271767e-05,3.3619266328166617e-06,0.928293801,2.1515947970163142e-06,0.050829729,1.1129807298924606e-06,,,,,,,,
95,27-PSI_F503_C2_R3,tryptophan (pseudo),Biomass (pseudo),3,1.12962874009556e-07,1.3607319070781893e-08,0.5684542720234953,9.842408289104187e-08,0.050829729,5.741872258034267e-09,,,,,,,,
96,27-PSI_F503_C2_R4,4-hydroxytryptamine (pseudo),Biomass (pseudo),3,1.1789584403845206e-07,1.645898509361512e-08,0.5166428211399751,1.1403479416645429e-07,0.051873593,6.11568104430829e-09,,,,,,,,
